,variant,correct_counts_6261_c_F_8,correct_counts_6261_c_F_1,correct_counts_6261_c_F_3,correct_counts_6261_c_F_2,correct_counts_6261_c_F_6,correct_counts_6261_c_F_7,correct_counts_6261_c_F_5,correct_counts_6261_c_F_4,mean_bin1__F_,mean_bin2__F_,mean_bin3__F_,mean_bin4__F_,mean_bin5__F_,mean_bin6__F_,mean_bin7__F_,mean_bin8__F_,meanbin__F_
22,10000100100,767.0,267.0,192.0,88.0,178.0,108.0,149.0,319.0,10497.50201945703,7045.160919375009,11892.795718951724,8723.316785244493,7471.3042397115505,8380.1817216767,6613.940598493968,17348.950287225754,3.38782512661015
23,01010100111,756.0,503.0,409.0,104.0,598.0,380.0,511.0,598.0,19776.192943022044,8326.099268352284,25334.132547141955,16352.800744752998,25623.063533507397,28153.644211026218,23271.27247618248,17100.138744644944,3.410748447111899
24,00000100100,741.0,363.0,145.0,172.0,297.0,129.0,275.0,396.0,14271.88476802585,13770.0872515057,8981.538433583333,10828.944974786265,13789.319905507895,13982.66276032573,7899.984603756683,16760.85027748929,3.34666539017944
25,01010100110,739.0,308.0,285.0,113.0,487.0,319.0,565.0,382.0,12109.47798499163,9046.627089652,17653.368645318966,10446.10348577867,28330.784533134403,22927.8005531267,19535.620841847922,16715.611815201868,3.4702594548274535
26,11001100111,738.0,205.0,121.0,98.0,284.0,387.0,268.0,232.0,8059.879827673,7845.747387485805,7494.9389687143685,6344.230389268721,13438.319035185876,13370.627016607768,23699.95381127005,16692.99258405816,3.5621655132615637
27,10000100101,732.0,293.0,177.0,118.0,225.0,157.0,153.0,248.0,11519.730680527751,9446.920323707398,10963.671053408621,6781.7635195631165,7671.876165609847,10592.926333580099,9614.709944106971,16557.277197195897,3.380979620478505
28,00011100010,728.0,174.0,101.0,70.0,261.0,175.0,292.0,473.0,6841.068731780985,5604.1052767755755,6256.106081323564,12934.57316432804,14641.750590575655,12287.794546952915,10717.033377189298,16466.800272621058,3.5372368844552566
29,10001100011,723.0,242.0,166.0,67.0,218.0,203.0,143.0,314.0,9514.589845350565,5363.929336342337,10282.312965343679,8586.587682027493,7170.446350864106,10263.368625424273,12431.758717539587,16353.704116902505,3.4691836543410655
30,01001100111,723.0,302.0,228.0,51.0,331.0,198.0,261.0,230.0,11873.579063206078,4082.990987365062,14122.694916255174,6289.538747981922,13087.318164863857,15583.371628511168,12125.557763905606,16353.704116902505,3.4569485083959313
31,10001001111,717.0,123.0,59.0,114.0,59.0,86.0,47.0,204.0,4835.9278966038,9126.68573646308,3654.557017802874,5578.547411253531,2356.7201293049857,2777.7006830276705,5266.656402504455,16217.988730040244,3.4549474239726985
32,00000000111,715.0,291.0,207.0,73.0,203.0,178.0,233.0,279.0,11441.097706599234,5844.281217208814,12821.920384494828,7629.483959508506,11683.31468357578,9557.173536518934,10900.753949369688,16172.750267752823,3.416890727893299
33,10101100101,714.0,129.0,127.0,71.0,124.0,111.0,128.0,322.0,5071.8268183893515,5684.163923586655,7866.588834931609,8805.354247174691,6418.301628745493,5837.879401617477,6797.661170674355,16150.131036609113,3.4960704833064176
34,10010100101,712.0,180.0,156.0,39.0,130.0,164.0,153.0,330.0,7076.967653566537,3122.287225632106,9662.896521648276,9024.12081232189,7671.876165609847,6120.357437179612,10043.391279194544,16104.892574321693,3.5058934757210074
35,00110100111,711.0,212.0,130.0,87.0,237.0,182.0,232.0,252.0,8335.09523642281,6965.10227256393,8052.41376804023,6891.1468021367145,11633.171702101206,11157.88240470437,11145.714712276871,16082.273343177983,3.4874697849832814
36,10001101011,709.0,260.0,145.0,115.0,160.0,157.0,119.0,268.0,10222.28661070722,9206.74438327416,8981.538433583333,7328.67993243111,5967.014795474325,7532.747614990292,9614.709944106971,16037.034880890562,3.387329377117932
37,00101100011,709.0,196.0,128.0,113.0,340.0,185.0,231.0,384.0,7706.031444994674,9046.627089652,7928.53047930115,10500.79512706547,11583.028720626631,16007.088681854371,11329.435284457259,16037.034880890562,3.4873098381812726
38,00010100100,707.0,172.0,142.0,153.0,365.0,174.0,407.0,421.0,6762.435757852469,12248.972962095186,8795.713500474712,11512.590490871258,20408.193460151684,17184.080496696606,10655.793186462502,15991.796418603142,3.473926926240501
39,00001100001,706.0,161.0,147.0,116.0,362.0,171.0,353.0,453.0,6329.9544012456245,9286.803030085239,9105.421722322415,12387.656751460047,17700.47246052468,17042.841478915536,10472.072614282115,15969.17718745943,3.498465873113164
40,10001101101,700.0,161.0,118.0,42.0,93.0,161.0,96.0,214.0,6329.9544012456245,3362.4631660653454,7309.114035605748,5852.005617687528,4813.72622155912,4378.409551213107,9859.670707014155,15833.46180059717,3.5308237995353204
41,00001100011,697.0,263.0,179.0,107.0,305.0,212.0,302.0,445.0,10340.236071599995,8566.275208785522,11087.554342147701,12168.89018631285,15143.180405321398,14359.300141075244,12982.92043408075,15765.604107166038,3.4460793857417973
42,10110100111,695.0,175.0,117.0,98.0,133.0,122.0,125.0,215.0,6880.385218745244,7845.747387485805,7247.172391236207,5879.3514383309275,6267.87268432177,6261.596454960681,7471.303268669111,15720.365644878619,3.44416860451841
43,01000100110,694.0,340.0,297.0,75.0,382.0,258.0,455.0,286.0,13367.605567847902,6004.3985108309735,18396.66837775345,7820.904704012303,22815.056570931243,17984.434930789324,15799.969207513366,15697.746413734909,3.437634518680822
44,00001000111,694.0,253.0,128.0,31.0,135.0,108.0,112.0,140.0,9947.07120195741,2481.818051143469,7928.53047930115,3828.414890075953,5616.013925152306,6355.755800148059,6613.940598493968,15697.746413734909,3.4541702937325742
45,00010100110,682.0,120.0,99.0,54.0,198.0,138.0,202.0,254.0,4717.978435711025,4323.166927798301,6132.222792584483,6945.838443423514,10128.882257863981,9321.775173550486,8451.146320297847,15426.315640010385,3.5684582447927737
46,10011100011,673.0,234.0,165.0,97.0,114.0,160.0,144.0,261.0,9200.057949636497,7765.6887406747255,10220.371320974138,7137.259187927312,7220.58933233868,5367.082675680584,9798.430516287359,15222.742559716993,3.394254871396636
47,10000000111,670.0,203.0,155.0,78.0,114.0,182.0,106.0,243.0,7981.246853744483,6244.574451264212,9600.954877278737,6645.034416346118,5315.156036304861,5367.082675680584,11145.714712276871,15154.884866285862,3.441513417358162
48,10001100100,662.0,207.0,108.0,49.0,155.0,129.0,133.0,235.0,8138.512801601517,3922.8736937429026,6689.697591910345,6426.267851198921,6669.016536118364,7297.349252021846,7899.984603756683,14973.931017136181,3.484092670830314
49,00001000011,658.0,155.0,98.0,88.0,164.0,125.0,164.0,216.0,6094.055479460073,7045.160919375009,6070.281148214943,5906.697258974327,8223.448961830163,7721.06630536505,7655.0238408495,14883.45409256134,3.484475357296029
50,01010100101,654.0,395.0,391.0,83.0,412.0,295.0,407.0,591.0,15530.012350882122,6644.867685319611,24219.18294849023,16161.3800002492,20408.193460151684,19396.825108600002,18065.856264404818,14792.977167986499,3.392101286409735
51,10100100110,649.0,161.0,76.0,46.0,96.0,100.0,131.0,190.0,6329.9544012456245,3682.6977533096638,4707.564972085058,5195.705922245936,6568.730573169216,4519.648568994176,6124.0190726796,14679.881012267948,3.5170859422834515
52,00011100111,649.0,204.0,130.0,116.0,141.0,146.0,168.0,173.0,8020.563340708742,9286.803030085239,8052.41376804023,4730.826971308142,8424.02088772846,6638.233835710195,8941.067846112215,14679.881012267948,3.408426315093041
53,00111100110,648.0,117.0,75.0,68.0,117.0,103.0,131.0,259.0,4600.028974818249,5443.987983153416,4645.623327715517,7082.567546640513,6568.730573169216,5508.321693461651,6307.7396448599875,14657.261781124238,3.52551998124975
54,00100000111,639.0,241.0,177.0,92.0,163.0,157.0,175.0,244.0,9475.273358386308,7365.3955066193275,10963.671053408621,6672.3802369895175,8775.02175805048,7673.986632771361,9614.709944106971,14453.688700830846,3.3968925958821106
55,11101100111,635.0,136.0,106.0,80.0,220.0,266.0,185.0,223.0,5347.042227139161,6404.691744886371,6565.814303171264,6098.118003478125,9276.45157279622,10357.527970611653,16289.890733327735,14363.211776256005,3.562884691473363
56,10000000110,635.0,362.0,91.0,186.0,102.0,100.0,99.0,165.0,14232.56828106159,14890.908306860814,5636.689637628161,4512.060406160945,4964.155165982842,4802.126604556312,6124.0190726796,14363.211776256005,3.2154797040180414
57,10010000110,622.0,123.0,102.0,39.0,130.0,114.0,59.0,331.0,4835.9278966038,3122.287225632106,6318.0477256931035,9051.466632965288,2958.4359069998754,6120.357437179612,6981.381742854744,14069.161771387771,3.5315499704610254
58,00011100011,621.0,194.0,127.0,73.0,264.0,176.0,313.0,378.0,7627.398471066156,5844.281217208814,7866.588834931609,10336.720203205072,15694.753201541713,12429.033564733982,10778.273567916096,14046.542540244061,3.4980082260721352
59,00100100100,612.0,176.0,123.0,124.0,244.0,141.0,250.0,341.0,6919.701705709503,9927.272204573876,7618.822257453448,9324.924839399286,12535.74536864354,11487.440112860197,8634.866892478236,13842.96945995067,3.441043582035347
60,10101100011,610.0,232.0,129.0,119.0,115.0,121.0,104.0,231.0,9121.424975707982,9526.978970518478,7990.47212367069,6316.884568625322,5214.870073355713,5414.1623482742725,7410.063077942315,13797.730997663248,3.3451787262884256
61,00001100110,610.0,114.0,59.0,42.0,95.0,98.0,156.0,166.0,4482.079513925473,3362.4631660653454,3654.557017802874,4539.4062268043435,7822.30511003357,4472.568896400486,6001.538691226007,13797.730997663248,3.5734397548375547
62,00100101111,607.0,197.0,111.0,145.0,147.0,128.0,189.0,305.0,7745.347931958931,11608.503787606549,6875.522525018966,8340.475296236897,9477.023498694516,6920.711871272331,7838.744413029887,13729.873304232118,3.3780312546149727
63,01000100101,604.0,458.0,404.0,85.0,441.0,230.0,482.0,409.0,18006.95102963041,6804.98497894177,25024.424325294254,11184.440643150461,24168.91707074475,20762.135613816994,14085.243867163079,13662.015610800987,3.3553071180531324
64,10100000111,603.0,158.0,123.0,44.0,100.0,116.0,76.0,199.0,6212.004940352849,3522.5804596875046,7618.822257453448,5441.8183080365325,3810.8665920676362,4707.967259368933,7103.862124308335,13639.396379657277,3.4762192887437724
65,11000100110,601.0,267.0,140.0,116.0,236.0,204.0,312.0,336.0,10497.50201945703,9286.803030085239,8671.830211735632,9188.195736182286,15644.61022006714,11110.802732110682,12492.998908266383,13594.157917369856,3.422033077142622
66,01011100010,600.0,344.0,302.0,79.0,405.0,268.0,486.0,504.0,13524.871515704937,6324.633098075292,18706.37659960115,13782.293604273429,24369.488996643042,19067.267400444176,16412.371114781326,13571.538686226146,3.424766598180718
67,10100100011,598.0,206.0,136.0,88.0,113.0,120.0,175.0,282.0,8099.196314637259,7045.160919375009,8424.06363425747,7711.521421438705,8775.02175805048,5320.003003086894,7348.82288721552,13526.300223938726,3.3981330337150597
68,01000100100,598.0,538.0,357.0,176.0,369.0,209.0,347.0,347.0,21152.269986771094,14090.321838750018,22113.167039925862,9488.999763259682,17399.614571677233,17372.39918707136,12799.199861900363,13526.300223938726,3.262605551898219
69,10011000111,597.0,170.0,102.0,89.0,94.0,110.0,99.0,207.0,6683.802783923951,7125.219566186089,6318.0477256931035,5660.58487318373,4964.155165982842,4425.489223806797,6736.420979947559,13503.680992795014,3.4165433419502014
70,10101100110,596.0,153.0,75.0,30.0,67.0,91.0,89.0,102.0,6015.422505531556,2401.7594043323893,4645.623327715517,2789.2737056267656,4462.725351237101,3154.3380637771847,5572.8573561384355,13481.061761651305,3.5244619875119683
71,10000001110,596.0,158.0,62.0,92.0,64.0,87.0,56.0,336.0,6212.004940352849,7365.3955066193275,3840.3819509114946,9188.195736182286,2808.006962576153,3013.0990459961167,5327.896593231251,13481.061761651305,3.4120628327260443
72,00011100110,595.0,132.0,76.0,45.0,130.0,93.0,163.0,221.0,5189.776279282127,3602.639106498584,4707.564972085058,6043.426362191325,8173.305980355589,6120.357437179612,5695.337737592027,13458.442530507595,3.533604633002685
73,10010100110,593.0,168.0,115.0,41.0,88.0,122.0,105.0,231.0,6605.169809995435,3282.4045192542653,7123.289102497127,6316.884568625322,5265.013054830287,4143.011188244661,7471.303268669111,13413.204068220173,3.476872014179914
74,00111100111,592.0,180.0,103.0,108.0,175.0,102.0,163.0,236.0,7076.967653566537,8646.333855596602,6379.9893700626435,6453.61367184232,8173.305980355589,8238.942703895633,6246.499454133192,13390.584837076463,3.415233627800628
75,10010100100,591.0,181.0,125.0,28.0,144.0,133.0,124.0,240.0,7116.284140530795,2241.64211071023,7742.705546192529,6562.9969544159185,6217.729702847197,6779.472853491263,8144.945366663867,13367.965605932754,3.49819097113037
76,10011100111,587.0,160.0,95.0,95.0,129.0,90.0,82.0,185.0,6290.637914281366,7605.571447052566,5884.456215106322,5058.976819028938,4111.724480915082,6073.277764585923,5511.61716541164,13277.488681357912,3.4139286873393058
77,01111100111,587.0,202.0,185.0,91.0,395.0,280.0,263.0,285.0,7941.930366780224,7285.336859808248,11459.204208364943,7793.5588833689035,13187.604127813005,18596.470674507284,17147.25340350288,13277.488681357912,3.5005833837930855
78,10001100010,585.0,159.0,113.0,123.0,126.0,116.0,109.0,279.0,6251.321427317107,9847.213557762796,6999.405813758046,7629.483959508506,5465.584980728584,5932.038746804855,7103.862124308335,13232.250219070493,3.3896943805181143
79,01011100111,585.0,237.0,188.0,80.0,329.0,265.0,256.0,277.0,9318.007410529273,6404.691744886371,11645.029141473564,7574.792318221706,12836.603257490986,15489.212283323788,16228.650542600939,13232.250219070493,3.476226475796507
80,10110100110,576.0,151.0,102.0,68.0,103.0,125.0,90.0,153.0,5936.789531603039,5443.987983153416,6318.0477256931035,4183.910558440149,4512.868332711675,4849.2062771500005,7655.0238408495,13028.6771387771,3.4648793675836944
81,10011100010,576.0,149.0,129.0,62.0,124.0,98.0,108.0,250.0,5858.156557674522,4963.636102286938,7990.47212367069,6836.455160849916,5415.44199925401,5837.879401617477,6001.538691226007,13028.6771387771,3.446044031328063
82,10000101111,576.0,235.0,76.0,93.0,79.0,130.0,77.0,203.0,9239.374436600756,7445.454153430407,4707.564972085058,5551.2015906101315,3861.0095735422105,3719.294134901457,7961.224794483479,13028.6771387771,3.374251992146967
83,10000101110,571.0,137.0,61.0,51.0,88.0,69.0,61.0,198.0,5386.3587141034195,4082.990987365062,3778.440306541954,5414.472487393133,3058.721869949024,4143.011188244661,4225.573160148923,12915.58098305855,3.4884414412110356
84,01111000111,571.0,264.0,214.0,94.0,274.0,167.0,222.0,408.0,10379.552558564254,7525.512800241487,13255.51189508161,11157.094822507062,11131.741887355465,12899.830290670876,10227.111851374932,12915.58098305855,3.3892181030935933
85,00000000110,571.0,389.0,140.0,131.0,117.0,117.0,136.0,208.0,15294.113429096571,10487.682732251435,8671.830211735632,5687.930693827129,6819.445480542086,5508.321693461651,7165.102315035131,12915.58098305855,3.2381187371417925
86,11010100100,567.0,205.0,155.0,54.0,266.0,208.0,269.0,381.0,8059.879827673,4323.166927798301,9600.954877278737,10418.757665135272,13488.46201666045,12523.192909921361,12737.959671173567,12825.104058483708,3.493859358825771
87,00101101101,566.0,151.0,101.0,67.0,179.0,168.0,164.0,214.0,5936.789531603039,5363.929336342337,6256.106081323564,5852.005617687528,8223.448961830163,8427.26139427039,10288.352042101727,12802.484827339997,3.510134185800917
88,10000100010,565.0,364.0,82.0,225.0,94.0,117.0,143.0,263.0,14311.201254990108,18013.195532492922,5079.214838302299,7191.950829214111,7170.446350864106,4425.489223806797,7165.102315035131,12779.865596196287,3.194169992452245
89,01011100011,565.0,438.0,388.0,149.0,442.0,278.0,405.0,458.0,17220.62129034524,11928.738374850867,24033.35801538161,12524.385854677046,20307.907497202537,20809.215286410683,17024.773022049285,12779.865596196287,3.335101449767596
90,01001100110,564.0,296.0,179.0,42.0,191.0,152.0,144.0,222.0,11637.680141420527,3362.4631660653454,11087.554342147701,6070.772182834725,7220.58933233868,8992.217465394662,9308.508990472992,12757.246365052577,3.392070106903184
91,01101100110,563.0,227.0,185.0,71.0,207.0,211.0,221.0,214.0,8924.842540886688,5684.163923586655,11459.204208364943,5852.005617687528,11081.59890588089,9745.492226893692,12921.680243353954,12734.627133908867,3.4424773835293703
92,00101100010,563.0,208.0,117.0,104.0,174.0,109.0,211.0,342.0,8177.829288565776,8326.099268352284,7247.172391236207,9352.270660042685,10580.169091135149,8191.863031301943,6675.1807892207635,12734.627133908867,3.397106045913234
93,11110100110,562.0,225.0,130.0,89.0,238.0,263.0,304.0,244.0,8846.20956695817,7125.219566186089,8052.41376804023,6672.3802369895175,15243.466368270545,11204.96207729806,16106.170161147347,12712.007902765157,3.4842231350322135
94,11011100111,560.0,180.0,122.0,102.0,186.0,238.0,215.0,222.0,7076.967653566537,8165.981974730124,7556.880613083908,6070.772182834725,10780.741017033446,8756.819102426214,14575.165392977447,12666.769440477736,3.4750290630659006
95,10011001111,556.0,175.0,63.0,121.0,53.0,95.0,45.0,308.0,6880.385218745244,9687.096264140637,3902.3235952810346,8422.512758167097,2256.4341663558375,2495.2226474655345,5817.81811904562,12576.292515902895,3.3450827848617184
96,01110100101,555.0,422.0,333.0,73.0,389.0,257.0,471.0,604.0,16591.557498917104,5844.281217208814,20626.5675750569,16516.875668613397,23617.344274524432,18313.992638945147,15738.72901678657,12553.673284759185,3.380983737240213
97,01100100100,554.0,263.0,322.0,47.0,360.0,172.0,331.0,410.0,10340.236071599995,3762.7564001207434,19945.209486991957,11211.786463793862,16597.32686808405,16948.682133728158,10533.31280500891,12531.054053615475,3.4135146261815987
98,10001000101,552.0,179.0,97.0,79.0,97.0,113.0,99.0,253.0,7037.651166602278,6324.633098075292,6008.339503845403,6918.492622780114,4964.155165982842,4566.728241587864,6920.141552127948,12485.815591328053,3.4126237079126076
99,11010100111,551.0,242.0,155.0,122.0,279.0,340.0,195.0,294.0,9514.589845350565,9767.154910951716,9600.954877278737,8039.6712691595,9777.881387541962,13135.228653639322,20821.66484711064,12463.196360184344,3.458668694879352
100,10011101101,551.0,152.0,86.0,42.0,119.0,149.0,120.0,292.0,5976.106018567298,3362.4631660653454,5326.98141578046,7984.979627872702,6017.1577769488995,5602.48103864903,9124.788418292603,12463.196360184344,3.517148556504135
101,10001101111,551.0,133.0,68.0,110.0,84.0,82.0,78.0,155.0,5229.0927662463855,8806.451149218761,4212.031817128735,4238.602199726947,3911.152555016785,3954.6924978699035,5021.695639597272,12463.196360184344,3.3990348804650363
102,10001001110,551.0,139.0,52.0,86.0,40.0,85.0,22.0,190.0,5464.991688031937,6885.04362575285,3220.965507216092,5195.705922245936,1103.1455924406316,1883.186903747573,5205.41621177766,12463.196360184344,3.4125115271642383
103,00010000111,549.0,351.0,187.0,97.0,198.0,164.0,148.0,195.0,13800.086924454747,7765.6887406747255,11583.087497104023,5332.435025462934,7421.161258236976,9321.775173550486,10043.391279194544,12417.957897896924,3.3159495032433406
104,00001000110,549.0,222.0,133.0,34.0,88.0,100.0,92.0,132.0,8728.260106065396,2721.993991576708,8238.238701148852,3609.6483249287553,4613.154295660823,4143.011188244661,6124.0190726796,12417.957897896924,3.401846049104429
105,10001011011,548.0,191.0,123.0,100.0,227.0,212.0,244.0,321.0,7509.449010173381,8005.864681107964,7618.822257453448,8778.00842653129,12234.887479796096,10687.085678767477,12982.92043408075,12395.338666753212,3.4650867465069823
106,00000001101,545.0,214.0,95.0,198.0,116.0,165.0,135.0,353.0,8413.728210351326,15851.61206859377,5884.456215106322,9653.07468712008,6769.302499067512,5461.242020867962,10104.63146992134,12327.480973322083,3.313771522185733
107,01001100100,544.0,330.0,276.0,57.0,279.0,129.0,297.0,336.0,12974.440698205317,4563.34286823154,17095.893845993105,9188.195736182286,14892.465497948526,13135.228653639322,7899.984603756683,12304.861742178373,3.355509887407331
108,01001100010,544.0,308.0,329.0,83.0,402.0,190.0,401.0,485.0,12109.47798499163,6644.867685319611,20378.800997578735,13262.723012048837,20107.33557130424,18926.02838266311,11635.63623809124,12304.861742178373,3.3892749237468793
109,10110000111,543.0,205.0,105.0,63.0,104.0,100.0,93.0,202.0,8059.879827673,5043.694749098017,6503.872658801724,5523.855769966732,4663.297277135397,4896.28594974369,6124.0190726796,12282.242511034661,3.3983001705122855
110,10001100001,539.0,137.0,64.0,65.0,132.0,116.0,177.0,354.0,5386.3587141034195,5203.8120427201775,3964.265239650575,9680.42050776348,8875.307720999626,6214.516782366991,7103.862124308335,12191.76558645982,3.4989459977140136
111,10101100100,538.0,173.0,111.0,60.0,142.0,111.0,112.0,364.0,6801.752244816727,4803.518808664779,6875.522525018966,9953.878714197477,5616.013925152306,6685.313508303884,6797.661170674355,12169.14635531611,3.43967150810281
112,10001000111,538.0,131.0,86.0,39.0,65.0,88.0,80.0,194.0,5150.459792317868,3122.287225632106,5326.98141578046,5305.089204819535,4011.438517965933,3060.178718589806,5389.136783958048,12169.14635531611,3.4894737904079776
113,00111000011,537.0,165.0,85.0,163.0,169.0,87.0,188.0,268.0,6487.2203491026585,13049.559430205982,5265.0397714109195,7328.67993243111,9426.880517219943,7956.464668333496,5327.896593231251,12146.5271241724,3.356538349985251
114,11000100111,536.0,346.0,160.0,176.0,290.0,269.0,254.0,261.0,13603.504489633455,14090.321838750018,9910.663099126437,7137.259187927312,12736.317294541837,13653.105052169905,16473.611305508122,12123.90789302869,3.3540381516829494
115,01111100110,535.0,267.0,160.0,137.0,255.0,262.0,238.0,368.0,10497.50201945703,10968.034613117912,9910.663099126437,10063.261996771076,11934.02959094865,12005.316511390778,16044.929970420551,12101.28866188498,3.4025128566175074
116,00100100101,534.0,188.0,129.0,63.0,193.0,141.0,138.0,207.0,7391.499549280605,5043.694749098017,7990.47212367069,5660.58487318373,6919.731443491235,9086.37681058204,8634.866892478236,12078.669430741269,3.451252733391367
117,11011100011,531.0,182.0,150.0,85.0,231.0,241.0,196.0,322.0,7155.600627495054,6804.98497894177,9291.246655431034,8805.354247174691,9828.024369016535,10875.404369142234,14758.885965157835,12010.81173731014,3.4750889892179653
118,01001100011,531.0,366.0,416.0,85.0,503.0,253.0,345.0,404.0,14389.834228918624,6804.98497894177,25767.724057728738,11047.711539933463,17299.328608728087,23681.07531462573,15493.768253879387,12010.81173731014,3.3729677857834437
119,00001001111,530.0,252.0,54.0,102.0,85.0,84.0,83.0,185.0,9907.75471499315,8165.981974730124,3344.8487959551726,5058.976819028938,4161.867462389656,4001.772170463593,5144.176021050864,11988.192506166428,3.3173603103108875
120,00111000111,527.0,241.0,135.0,59.0,135.0,86.0,102.0,199.0,9475.273358386308,4723.460161853699,8362.121989887932,5441.8183080365325,5114.584110406565,6355.755800148059,5266.656402504455,11920.334812735298,3.3574201414125384
