,variant,correct_counts_6261_z_F_7,correct_counts_6261_z_F_6,correct_counts_6261_z_F_4,correct_counts_6261_z_F_5,correct_counts_6261_z_F_1,correct_counts_6261_z_F_2,correct_counts_6261_z_F_3,correct_counts_6261_z_F_8,mean_bin1__F_,mean_bin2__F_,mean_bin3__F_,mean_bin4__F_,mean_bin5__F_,mean_bin6__F_,mean_bin7__F_,mean_bin8__F_,meanbin__F_
18,01010111101,272.0,187.0,491.0,720.0,124.0,207.0,220.0,84.0,7561.618957794899,16042.77300418422,13599.374380897763,20410.46448648217,18299.839966135885,12960.728730340927,15321.42329094483,2565.298540864739,3.3127293449742465
19,11010111101,265.0,77.0,332.0,272.0,210.0,192.0,188.0,190.0,12805.967589813941,14880.253221272322,11621.283561858088,13800.965803486926,6913.272876095779,5336.770653669793,14927.121956251396,5802.460985289291,3.22063178840029
20,01011100011,265.0,169.0,402.0,458.0,217.0,114.0,191.0,465.0,13232.833176141074,8835.150350130441,11806.729576143058,16710.80799096911,11640.731534014216,11713.171954158379,14927.121956251396,14200.759779786948,3.391221324054377
21,01010000111,263.0,153.0,399.0,533.0,270.0,205.0,225.0,418.0,16464.815472617924,15887.770366462635,13908.451071372712,16586.100468648445,13546.964863820036,10604.232597551669,14814.464432053273,12765.41416763644,3.2919570131270772
22,01001100010,262.0,184.0,302.0,465.0,157.0,84.0,163.0,244.0,9573.98529333709,6510.11078430664,10075.900109483342,12553.890580280276,11818.646644796092,12752.80260097717,14758.135669954212,7451.581475845194,3.408570198258547
23,11001100111,260.0,81.0,163.0,160.0,214.0,172.0,167.0,455.0,13049.890782000874,13330.226844056455,10323.161461863303,6775.775379422798,4066.631103585752,5614.005492821471,14645.478145756088,13895.36709635067,3.306777015376948
24,01011111111,260.0,199.0,476.0,413.0,138.0,158.0,217.0,109.0,8415.350130449162,12245.208380005348,13413.928366612794,19786.926874878845,10496.991536130723,13792.43324779596,14645.478145756088,3328.7802494554353,3.316204575239957
25,01010010111,258.0,151.0,349.0,554.0,358.0,119.0,189.0,196.0,21831.125700730434,9222.656944434408,11683.098899953078,14507.64176330403,14080.710196165666,10465.61517797583,14532.820621557963,5985.696595351058,3.2359837173259534
26,01000111101,257.0,204.0,371.0,580.0,139.0,189.0,171.0,103.0,8476.330928495894,14647.74926468994,10570.422814243262,15422.163593655572,14741.537750498352,14138.976796735556,14476.491859458902,3145.544639393668,3.320147630584049
27,11011111101,251.0,116.0,288.0,483.0,206.0,231.0,163.0,260.0,12562.044397627009,17902.804656843262,10075.900109483342,11971.92214278384,12276.142643949488,8039.81033539865,14138.51928686453,7940.20976934324,3.2595849458688413
28,11001011101,249.0,113.0,260.0,435.0,199.0,168.0,163.0,220.0,12135.178811299878,13020.22156861328,10075.900109483342,10807.985267790968,11056.153312873763,7831.8842060348925,14025.861762666407,6718.639035598126,3.280473106163415
29,01011100110,249.0,98.0,151.0,240.0,134.0,128.0,145.0,417.0,8171.42693826223,9920.168814181547,8963.224023773526,6276.945290140138,6099.946655378628,6792.253559216101,14025.861762666407,12734.874899292812,3.4074929188727183
30,11111110001,246.0,71.0,237.0,280.0,180.0,166.0,148.0,207.0,10976.54364841195,12865.218930891695,9148.670038058495,9851.894263332535,7116.604431275066,4920.918394942278,13856.875476369221,6321.628547130964,3.2567203818397044
31,01101111111,246.0,94.0,229.0,332.0,181.0,155.0,115.0,94.0,11037.524446458683,12012.704423422967,7108.763880923831,9519.340870477428,8438.259539940436,6515.018720064423,13856.875476369221,2870.6912243010174,3.2471067850023276
32,01000100111,246.0,192.0,296.0,389.0,264.0,177.0,130.0,607.0,16098.930684337527,13717.733438360421,8035.993952348678,12304.475535638947,9886.99687059286,13307.272279280525,13856.875476369221,18537.335884582102,3.375886908569703
33,01010100011,244.0,190.0,517.0,580.0,151.0,117.0,211.0,340.0,9208.100505056691,9067.65430671282,13043.036338042855,21491.26301326127,14741.537750498352,13168.654859704686,13744.217952171097,10383.351236833467,3.3971617418038225
34,01000100011,244.0,174.0,242.0,381.0,155.0,77.0,113.0,221.0,9452.023697243623,5967.601552281088,6985.133204733851,10059.740133866977,9683.665315413573,12059.715503097976,13744.217952171097,6749.178303941754,3.4158550803978667
35,01111100111,243.0,97.0,188.0,207.0,98.0,126.0,101.0,389.0,5976.118208579839,9765.166176459961,6243.349147593974,7815.004732095007,5261.203990264066,6722.944849428181,13687.889190072035,11879.775385671232,3.448420413743346
36,01001111110,243.0,131.0,300.0,469.0,107.0,131.0,137.0,111.0,6524.945391000437,10152.672770763927,8468.701319013608,12470.7522320665,11920.312422385736,9079.440982217442,13687.889190072035,3389.858786142691,3.353580802285737
37,01000100010,242.0,142.0,336.0,404.0,164.0,58.0,105.0,129.0,10000.850879664222,4495.076493926013,6490.610499973933,13967.24249991448,10268.243536554024,9841.836789884555,13631.560427972974,3939.5656163279923,3.3847726049649407
38,01001011101,241.0,182.0,377.0,442.0,366.0,131.0,330.0,207.0,22318.9720851043,10152.672770763927,20399.061571346647,15671.578638296902,11234.06842365564,12614.18518140133,13575.231665873911,6321.628547130964,3.197061469501249
39,01101100111,240.0,114.0,173.0,298.0,142.0,148.0,58.0,524.0,8659.273322636094,11470.195191397414,3585.28960950941,7191.467120491682,7574.100430428463,7901.192915822811,13518.90290377485,16002.576612060991,3.462084606506239
40,01010111001,240.0,86.0,447.0,345.0,95.0,120.0,178.0,29.0,5793.17581443964,9300.158263295201,11003.13018090819,18581.420825779085,8768.673317106777,5960.549041761068,13518.90290377485,885.6387819652075,3.2970323408201803
41,01011010111,239.0,152.0,303.0,431.0,142.0,139.0,200.0,295.0,8659.273322636094,10772.683321650275,12363.067618997966,12595.459754387166,10954.487535284119,10534.923887763749,13462.574141675788,9009.084161370214,3.359863583777305
42,11001111111,235.0,120.0,300.0,324.0,141.0,215.0,116.0,155.0,8598.29252458936,16662.783555070568,7170.57921901882,12470.7522320665,8234.927984761147,8317.045174550327,13237.259093279541,4733.5865932623165,3.267546913504071
43,01001100101,235.0,94.0,161.0,218.0,191.0,79.0,76.0,453.0,11647.332426926014,6122.604190002674,4697.965695219227,6692.637031209022,5540.784878635587,6515.018720064423,13237.259093279541,13834.288559663415,3.437369766068032
44,01000100100,235.0,166.0,358.0,470.0,234.0,145.0,194.0,458.0,14269.506742935535,11237.691234815034,11992.175590428027,14881.764330266024,11945.728866783147,11505.24582479462,13237.259093279541,13986.984901381553,3.3503007751717364
45,11010100101,233.0,117.0,239.0,244.0,195.0,183.0,118.0,572.0,11891.255619112946,14182.741351525181,7294.2098952088,9935.032611546312,6201.612432968272,8109.11904518657,13124.601569081417,17468.46149255513,3.375449312320883
46,01111101111,233.0,147.0,329.0,397.0,224.0,90.0,168.0,199.0,13659.698762468204,6975.118697471401,10384.976799958293,13676.258281166261,10090.328425772148,10188.380338824152,13124.601569081417,6077.314400381942,3.31148567843351
47,01001100111,233.0,103.0,232.0,243.0,139.0,185.0,81.0,407.0,8476.330928495894,14337.743989246768,5007.042385694176,9644.048392798093,6176.195988570861,7138.797108155698,13124.601569081417,12429.482215856533,3.374064144162321
48,11110100111,230.0,105.0,278.0,228.0,282.0,219.0,155.0,404.0,17196.58504917872,16972.788830513742,9581.377404723424,11556.230401714956,5794.9493226096965,7277.4145277315365,12955.61528278423,12337.86441082565,3.2308593942848653
49,01110100111,230.0,124.0,269.0,248.0,116.0,137.0,107.0,380.0,7073.772573421034,10617.680683928687,6614.241176163912,11182.107834752962,6303.278210557915,8594.280013702006,12955.61528278423,11604.921970578582,3.419027307336045
50,11011100111,227.0,75.0,140.0,220.0,93.0,195.0,89.0,368.0,5671.214218346174,15112.7571778547,5501.565090454095,5819.684374964367,5591.617767430409,5198.153234093955,12786.628996487045,11238.450750455047,3.3719108821769175
51,01011011001,227.0,130.0,332.0,320.0,178.0,91.0,156.0,130.0,10854.582052318483,7052.620016332194,9643.192742818414,13800.965803486926,8133.262207171504,9010.132272429522,12786.628996487045,3970.10488467162,3.3072135729809014
52,01000000111,227.0,134.0,335.0,316.0,158.0,124.0,139.0,462.0,9634.966091383823,9610.163538738374,8592.331995203587,13925.673325807591,8031.59642958186,9287.3671115812,12786.628996487045,14109.141974756065,3.4117738454744546
53,01001110011,226.0,135.0,402.0,589.0,270.0,159.0,341.0,58.0,16464.815472617924,12322.709698866141,21079.030290391533,16710.80799096911,14970.285750075049,9356.67582136912,12730.300234387983,1771.277563930415,3.1766752957520925
54,01110111101,224.0,138.0,398.0,435.0,181.0,168.0,192.0,126.0,11037.524446458683,13020.22156861328,11868.544914238048,16544.531294541557,11056.153312873763,9564.601950732877,12617.64271018986,3847.9478112971087,3.2581869966941635
55,01101100110,223.0,76.0,217.0,213.0,114.0,113.0,152.0,333.0,6951.810977327568,8757.649031269648,9395.931390438454,9020.51078119477,5413.702656648532,5267.4619438818745,12561.313948090798,10169.576358428072,3.3823001396297827
56,01011011101,223.0,149.0,281.0,390.0,211.0,118.0,171.0,154.0,12866.948387860675,9145.155625573614,10570.422814243262,11680.937924035621,9912.41331499027,10326.99775839999,12561.313948090798,4703.047324918688,3.2795137789711406
57,11010111111,221.0,111.0,380.0,448.0,111.0,176.0,206.0,88.0,6768.868583187369,13640.232119499628,12733.959647567906,15796.286160617567,11386.567090040106,7693.266786459053,12448.656423892675,2687.4556142392503,3.2686293598554474
58,11111100111,220.0,71.0,190.0,187.0,151.0,159.0,101.0,380.0,9208.100505056691,12322.709698866141,6243.349147593974,7898.143080308783,4752.8751023158475,4920.918394942278,12392.327661793612,11604.921970578582,3.343405753484997
59,01100111111,219.0,145.0,547.0,531.0,348.0,165.0,267.0,100.0,21221.3177202631,12787.717612030901,16504.695271362285,22738.33823646792,13496.131975025215,10049.762919248313,12335.99889969455,3053.9268343627846,3.1699436238178604
60,01100100011,219.0,135.0,185.0,232.0,111.0,61.0,119.0,137.0,6768.868583187369,4727.580450508393,7356.025233303791,7690.297209774341,5896.61510019934,9356.67582136912,12335.99889969455,4183.879763077015,3.4024867376619663
61,01101111110,218.0,131.0,317.0,578.0,104.0,147.0,137.0,101.0,6342.0029968602375,11392.693872536622,8468.701319013608,13177.428191883602,14690.704861703529,9079.440982217442,12279.670137595489,3084.4661027064126,3.3385729420457584
62,01100111101,218.0,120.0,338.0,359.0,151.0,166.0,170.0,68.0,9208.100505056691,12865.218930891695,10508.607476148272,14050.380848128258,9124.503538670531,8317.045174550327,12279.670137595489,2076.6702473666937,3.2421308522165857
63,01010100001,217.0,205.0,312.0,375.0,131.0,63.0,121.0,289.0,7988.4845441220305,4882.583088229981,7479.65590949377,12969.58232134916,9531.166649029106,14208.285506523476,12223.341375496428,8825.848551308447,3.461902438881356
64,11000111101,216.0,97.0,302.0,351.0,153.0,182.0,149.0,210.0,9330.062101150157,14105.240032664387,9210.485376153485,12553.890580280276,8921.171983491244,6722.944849428181,12167.012613397364,6413.246352161847,3.274115077632211
65,01111111111,216.0,98.0,345.0,314.0,167.0,106.0,196.0,55.0,10183.79327380442,8215.139799244094,12115.806266618007,14341.365066876475,7980.763540787038,6792.253559216101,12167.012613397364,1679.6597588995314,3.2411993803979957
66,01011110001,216.0,117.0,245.0,356.0,107.0,130.0,135.0,119.0,6524.945391000437,10075.171451903134,8345.070642823628,10184.447656187642,9048.254205478299,8109.11904518657,12167.012613397364,3634.1729328917136,3.3273403772346453
67,11010100110,215.0,110.0,185.0,211.0,146.0,171.0,138.0,284.0,8903.196514823027,13252.725525195661,8530.516657108597,7690.297209774341,5362.86976785371,7623.958076671134,12110.683851298303,8673.152209590307,3.3037687575109147
68,01011111100,215.0,149.0,516.0,551.0,256.0,219.0,257.0,175.0,15611.084299963662,16972.788830513742,15886.541890412387,21449.69383915438,14004.460862973434,10326.99775839999,12110.683851298303,5344.371960134873,3.2108195899926057
69,01010111100,215.0,148.0,546.0,611.0,140.0,159.0,188.0,92.0,8537.311726542628,12322.709698866141,11621.283561858088,22696.76906236103,15529.44752681809,10257.68904861207,12110.683851298303,2809.612687613762,3.3005214530258202
70,01001011000,214.0,184.0,570.0,562.0,143.0,63.0,178.0,124.0,8720.254120682826,4882.583088229981,11003.13018090819,23694.42924092635,14284.041751344954,12752.80260097717,12054.355089199242,3786.8692746098527,3.379303494655629
71,01111110001,213.0,118.0,276.0,369.0,131.0,135.0,115.0,125.0,7988.4845441220305,10462.6780462071,7108.763880923831,11473.092053501181,9378.66798264464,8178.427754974489,11998.026327100179,3817.4085429534807,3.3146787215815583
72,11110111001,212.0,51.0,192.0,240.0,134.0,145.0,106.0,179.0,8171.42693826223,11237.691234815034,6552.4258380689225,7981.28142852256,6099.946655378628,3534.744199183889,11941.697565001117,5466.529033509384,3.275446615439887
73,01011111011,211.0,136.0,528.0,638.0,216.0,122.0,181.0,40.0,13171.85237809434,9455.160901016787,11188.57619519316,21948.52392843704,16215.691525548185,9425.984531157039,11885.368802902056,1221.5707337451138,3.2592071344561298
74,01011000001,211.0,192.0,326.0,314.0,364.0,58.0,210.0,440.0,22197.01048901083,4495.076493926013,12981.220999947865,13551.550758845597,7980.763540787038,13307.272279280525,11885.368802902056,13437.278071196251,3.303636598129932
75,11111111101,210.0,102.0,217.0,241.0,161.0,155.0,153.0,178.0,9817.908485524022,12012.704423422967,9457.746728533444,9020.51078119477,6125.363099776039,7069.488398367778,11829.040040802995,5435.989765165757,3.255319270152731
76,11110111101,210.0,142.0,318.0,484.0,136.0,151.0,149.0,184.0,8293.388534355696,11702.699147979794,9210.485376153485,13218.99736599049,12301.5590883469,9841.836789884555,11829.040040802995,5619.225375227524,3.328000236629784
77,11010100100,209.0,120.0,229.0,293.0,116.0,178.0,98.0,348.0,7073.772573421034,13795.234757221215,6057.903133309003,9519.340870477428,7447.018208441408,8317.045174550327,11772.711278703931,10627.66538358249,3.3712678907987645
78,11000100111,209.0,117.0,172.0,208.0,217.0,203.0,142.0,345.0,13232.833176141074,15732.767728741048,8777.778009488557,7149.897946384794,5286.620434661478,8109.11904518657,11772.711278703931,10536.047578551606,3.250231923048932
79,01010011101,209.0,210.0,488.0,707.0,266.0,115.0,246.0,180.0,16220.892280430993,8912.651668991233,15206.5731713675,20285.75696416151,17969.42618896954,14554.829055463073,11772.711278703931,5497.068301853013,3.287940441696046
80,01001010111,209.0,149.0,265.0,404.0,98.0,103.0,146.0,322.0,5976.118208579839,7982.635842661714,9025.039361868516,11015.831138325408,10268.243536554024,10326.99775839999,11772.711278703931,9833.644406648167,3.4371536024252594
81,11001111110,208.0,133.0,297.0,331.0,151.0,150.0,190.0,75.0,9208.100505056691,11625.197829119,11744.914238048068,12346.044709745835,8412.843095543025,9218.05840179328,11716.38251660487,2290.4451257720884,3.2443001611555458
82,11110010101,207.0,86.0,287.0,284.0,166.0,130.0,139.0,160.0,10122.812475757688,10075.171451903134,8592.331995203587,11930.352968676953,7218.27020886471,5960.549041761068,11660.053754505809,4886.282934980455,3.267425473653958
83,01111100110,207.0,102.0,177.0,309.0,112.0,131.0,143.0,431.0,6829.849381234102,10152.672770763927,8839.593347583546,7357.7438169192355,7853.681318799983,7069.488398367778,11660.053754505809,13162.424656103602,3.417217719623397
84,01001011111,206.0,144.0,395.0,470.0,371.0,120.0,189.0,202.0,22623.876075337965,9300.158263295201,11683.098899953078,16419.82377222089,11945.728866783147,9980.454209460393,11603.724992406746,6168.932205412825,3.200785062368511
85,11001110011,205.0,100.0,280.0,373.0,97.0,170.0,211.0,74.0,5915.137410533106,13175.224206334868,13043.036338042855,11639.368749928733,9480.333760234284,6930.87097879194,11547.396230307684,2259.9058574284604,3.248104664434649
86,11000100101,205.0,75.0,199.0,223.0,209.0,186.0,131.0,351.0,12744.986791767209,14415.245308107562,8097.809290443668,8272.265647270779,5667.867100622642,5198.153234093955,11547.396230307684,10719.283188613374,3.2541033015874317
87,11000100110,204.0,116.0,238.0,205.0,146.0,211.0,94.0,298.0,8903.196514823027,16352.778279627395,5810.641780929044,9893.463437439423,5210.371101469244,8039.81033539865,11491.067468208623,9100.701966401099,3.293434442077309
88,01100010111,204.0,77.0,307.0,297.0,148.0,105.0,179.0,165.0,9025.158110916493,8137.638480383301,11064.94551900318,12761.736450814718,7548.683986031052,5336.770653669793,11491.067468208623,5038.979276698595,3.2847193189342425
89,01101111101,203.0,106.0,274.0,391.0,79.0,167.0,123.0,174.0,4817.483045691912,12942.720249752489,7603.28658568375,11389.953705287404,9937.829759387681,7346.723237519456,11434.738706109561,5313.832691791245,3.3387186936725604
90,01001100100,203.0,138.0,212.0,338.0,138.0,102.0,135.0,461.0,8415.350130449162,7905.134523800921,8345.070642823628,8812.664910660327,8590.758206324901,9564.601950732877,11434.738706109561,14078.602706412437,3.4441070677345733
91,00001111111,203.0,117.0,218.0,377.0,196.0,92.0,135.0,271.0,11952.236417159678,7130.121335192987,8345.070642823628,9062.079955301657,9581.999537823927,8109.11904518657,11434.738706109561,8276.141721123146,3.3369477835134984
92,11011111111,202.0,68.0,250.0,246.0,222.0,148.0,130.0,91.0,13537.737166374738,11470.195191397414,8035.993952348678,10392.293526722084,6252.4453217630935,4712.992265578519,11378.409944010498,2779.073419270134,3.163706756568278
93,11110111111,201.0,125.0,371.0,518.0,103.0,171.0,220.0,44.0,6281.0221988135045,13252.725525195661,13599.374380897763,15422.163593655572,13165.718197858872,8663.588723489926,11322.081181911437,1343.7278071196251,3.2611919584532276
94,01011011111,201.0,117.0,469.0,477.0,202.0,140.0,204.0,123.0,12318.121205440077,10850.184640511068,12610.328971377927,19495.942656130628,12123.643977565023,8109.11904518657,11322.081181911437,3756.330006266225,3.2467179528959513
95,11101111101,200.0,81.0,225.0,344.0,287.0,197.0,132.0,160.0,17501.489039412387,15267.759815576288,8159.624628538658,9353.064174049876,8743.256872709368,5614.005492821471,11265.752419812376,4886.282934980455,3.141036955340772
96,11000010101,200.0,86.0,351.0,307.0,165.0,134.0,132.0,207.0,10061.831677710954,10385.176727346308,8159.624628538658,14590.780111517804,7802.848430005161,5960.549041761068,11265.752419812376,6321.628547130964,3.2882909675481393
97,01011100101,200.0,114.0,200.0,369.0,330.0,129.0,166.0,503.0,20123.663355421908,9997.67013304234,10261.346123768313,8313.834821377666,9378.66798264464,7901.192915822811,11265.752419812376,15361.251976844807,3.2818629339079046
98,01001111100,200.0,120.0,375.0,388.0,173.0,160.0,177.0,71.0,10549.678062084819,12400.211017726935,10941.3148428132,15588.440290083125,9861.580426195449,8317.045174550327,11265.752419812376,2168.288052397577,3.2271994732000016
99,01101100010,199.0,114.0,234.0,335.0,74.0,61.0,108.0,333.0,4512.579055458246,4727.580450508393,6676.056514258902,9727.18674101187,8514.508873132669,7901.192915822811,11209.423657713312,10169.576358428072,3.509610416608181
100,11110011101,198.0,103.0,254.0,341.0,203.0,177.0,130.0,166.0,12379.10200348681,13717.733438360421,8035.993952348678,10558.570223149636,8667.007539517133,7138.797108155698,11153.094895614251,5069.518545042222,3.2216332905798497
101,01011000000,198.0,225.0,424.0,468.0,310.0,55.0,285.0,289.0,18904.047394487246,4262.5725373436335,17617.3713570721,17625.329821320654,11894.895977988324,15594.459702281865,11153.094895614251,8825.848551308447,3.295350578179792
102,01010011100,198.0,158.0,612.0,657.0,123.0,82.0,246.0,64.0,7500.638159748166,6355.108146585054,15206.5731713675,25440.33455341566,16698.603969098993,10950.776146491266,11153.094895614251,1954.5131739921821,3.3336909877776146
103,11011100101,197.0,85.0,134.0,210.0,107.0,160.0,83.0,362.0,6524.945391000437,12400.211017726935,5130.673061884157,5570.269330323037,5337.4533234563,5891.240331973149,11096.76613351519,11055.21514039328,3.38056813599848
104,01110010111,195.0,69.0,229.0,276.0,173.0,96.0,153.0,88.0,10549.678062084819,7440.126610636161,9457.746728533444,9519.340870477428,7014.938653685423,4782.300975366438,10984.108609317065,2687.4556142392503,3.2292295260386035
105,00011111101,195.0,88.0,281.0,363.0,138.0,102.0,125.0,196.0,8415.350130449162,7905.134523800921,7726.917261873729,11680.937924035621,9226.169316260175,6099.166461336907,10984.108609317065,5985.696595351058,3.3360455335629786
106,11010011101,194.0,106.0,313.0,339.0,290.0,152.0,181.0,143.0,17684.431433552585,11780.200466840588,11188.57619519316,13011.151495456048,8616.174650722312,7346.723237519456,10927.779847218004,4367.115373138782,3.1648508253990437
107,01101100000,194.0,164.0,331.0,296.0,132.0,42.0,148.0,212.0,8049.4653421687635,3255.05539215332,9148.670038058495,13759.396629380039,7523.2675416336415,11366.628405218782,10927.779847218004,6474.324888849103,3.4147060827873017
108,11110100101,193.0,84.0,203.0,243.0,103.0,146.0,85.0,387.0,6281.0221988135045,11315.192553675828,5254.303738074136,8438.542343698331,6176.195988570861,5821.93162218523,10871.451085118943,11818.696848983976,3.405942448334858
109,01110100110,193.0,123.0,280.0,236.0,192.0,144.0,111.0,254.0,11708.313224972746,11160.18991595424,6861.502528543871,11639.368749928733,5998.280877788984,8524.971303914086,10871.451085118943,7756.974159281473,3.288318020644728
110,01100100100,193.0,109.0,317.0,307.0,112.0,110.0,106.0,215.0,6829.849381234102,8525.145074687267,6552.4258380689225,13177.428191883602,7802.848430005161,7554.6493668832145,10871.451085118943,6565.942693879987,3.370916052828296
111,01010011111,193.0,117.0,603.0,623.0,223.0,113.0,338.0,102.0,13598.717964421472,8757.649031269648,20893.584276106565,25066.211986453665,15834.444859587022,8109.11904518657,10871.451085118943,3115.00537105004,3.2295692981280397
112,00000100110,193.0,189.0,151.0,257.0,119.0,69.0,117.0,448.0,7256.714967561234,5347.5910013947405,7232.39455711381,6276.945290140138,6532.026210134614,13099.346149916766,10871.451085118943,13681.592217945275,3.5089951181999526
113,11110100110,192.0,75.0,210.0,227.0,177.0,165.0,110.0,370.0,10793.60125427175,12787.717612030901,6799.687190448882,8729.52656244655,5769.532878212286,5198.153234093955,10815.12232301988,11299.529287142303,3.3018772133374945
114,01010101101,192.0,182.0,334.0,390.0,133.0,106.0,120.0,302.0,8110.446140215497,8215.139799244094,7417.84057139878,13884.104151700703,9912.41331499027,12614.18518140133,10815.12232301988,9222.859039775609,3.4121836306091784
115,00000100011,192.0,224.0,127.0,237.0,206.0,37.0,145.0,319.0,12562.044397627009,2867.5487978493534,8963.224023773526,5279.285111574818,6023.6973221863955,15525.150992493946,10815.12232301988,9742.026601617283,3.4130642644358953
116,11010101111,191.0,86.0,213.0,312.0,82.0,130.0,148.0,218.0,5000.425439832111,10075.171451903134,9148.670038058495,8854.234084767215,7929.930651992217,5960.549041761068,10758.793560920818,6657.560498910871,3.350636283561726
117,01001111011,190.0,147.0,363.0,344.0,221.0,137.0,160.0,67.0,13476.756368328006,10617.680683928687,9890.454095198373,15089.610200800465,8743.256872709368,10188.380338824152,10702.464798821757,2046.1309790230657,3.2151539339674895
118,11011100110,189.0,60.0,155.0,212.0,113.0,137.0,46.0,403.0,6890.830179280835,10617.680683928687,2843.5055523695323,6443.221986567692,5388.2862122511215,4158.5225872751635,10646.136036722695,12307.325142482023,3.4193921676772794
119,11001111101,189.0,79.0,258.0,349.0,150.0,160.0,117.0,163.0,9147.119707009959,12400.211017726935,7232.39455711381,10724.84691957719,8870.339094696421,5475.388073245633,10646.136036722695,4977.900740011339,3.258868348023201
120,01001111001,189.0,70.0,163.0,229.0,67.0,81.0,114.0,107.0,4085.713469131115,6277.60682772426,7046.948542828841,6775.775379422798,5820.365767007108,4851.609685154358,10646.136036722695,3267.7017127681797,3.3671016438220853
