,variant,correct_counts_6261_x_F_1,correct_counts_6261_x_F_2,correct_counts_6261_x_F_3,correct_counts_6261_x_F_7,correct_counts_6261_x_F_6,correct_counts_6261_x_F_4,correct_counts_6261_x_F_5,correct_counts_6261_x_F_8,mean_bin1__F_,mean_bin2__F_,mean_bin3__F_,mean_bin4__F_,mean_bin5__F_,mean_bin6__F_,mean_bin7__F_,mean_bin8__F_,meanbin__F_
49,11101011001,227.0,68.0,116.0,197.0,297.0,323.0,310.0,149.0,17872.67010901903,5146.854564254264,4741.456498212256,7544.327926828468,8351.551483498519,7519.839364758945,4276.289241303677,2897.76620912717,3.1432097268828927
50,01111010110,227.0,132.0,293.0,301.0,356.0,421.0,338.0,315.0,17872.67010901903,9990.952977670042,11976.265120484404,9833.319062522554,9105.88516587903,9013.679507926547,6533.822647880237,6126.150039429924,3.1829813517887846
51,01111001111,226.0,141.0,176.0,424.0,308.0,483.0,607.0,499.0,17793.93587946388,10672.154317056637,7193.93399728756,11281.45631163514,16352.876614463228,7798.351933824091,9203.790042196746,9704.59958627153,3.2952813645473196
52,10111011111,225.0,251.0,150.0,217.0,214.0,295.0,374.0,360.0,17715.20164990873,18997.948465115005,6131.193747688261,6890.330459487301,10075.742757511116,5418.335434540115,4710.430281029939,7001.314330777055,3.090844657748096
53,00010000011,225.0,164.0,196.0,259.0,324.0,201.0,399.0,303.0,17715.20164990873,12413.002184377932,8011.426496979328,4694.767533413381,10749.254973922287,8203.461125191576,5622.126464455088,5892.772895070688,3.1513412888822114
54,00001011011,223.0,217.0,204.0,238.0,289.0,340.0,475.0,275.0,17557.73319079843,16424.52118298787,8338.423496856036,7941.397817714177,12796.732111812245,7317.284769075202,5166.278372742513,5348.226224899139,3.127877870995289
55,11011100111,221.0,65.0,138.0,399.0,281.0,259.0,343.0,541.0,17400.26473168813,4919.7874511253995,5640.698247873201,6049.4765729058,9240.587609161264,7114.730173391459,8661.113742538919,10521.419591528853,3.3199955110466175
56,00111100011,221.0,95.0,161.0,374.0,266.0,312.0,339.0,297.0,17400.26473168813,7190.458582414046,6580.814622518734,7287.400350373009,9132.825654535476,6734.940306484442,8118.4374428810925,5776.084322891071,3.217980268629828
57,00000100010,221.0,135.0,179.0,402.0,355.0,250.0,382.0,428.0,17400.26473168813,10218.020090798907,7316.557872241325,5839.263101260424,10291.26666676269,8988.360183466079,8726.234898497858,8323.784815479388,3.251056024543385
58,01000001010,219.0,164.0,258.0,294.0,353.0,608.0,547.0,196.0,17242.79627257783,12413.002184377932,10545.653246023809,14201.087862265353,14736.447295076418,8937.721534545142,6381.873283976046,3811.826691200841,3.1909007281224815
59,10000111011,218.0,133.0,326.0,349.0,446.0,384.0,555.0,88.0,17164.06204302268,10066.642015379664,13325.127744975822,8969.108123536012,14951.971204327992,11292.41870936865,7575.761143223265,1711.4323919677247,3.1898055023793512
60,10101111100,217.0,45.0,166.0,316.0,347.0,472.0,429.0,242.0,17085.32781346753,3406.006696932969,6785.187747441676,11024.528735179681,11557.469633615692,8785.805587782335,6859.428427674934,4706.439077911243,3.27230492357768
61,00000001010,216.0,112.0,250.0,210.0,253.0,323.0,307.0,223.0,17006.59358391238,8477.172223477612,10218.656246147102,7544.327926828468,8270.730017529178,6405.78908849836,4558.4809171257475,4336.925266009121,3.1213568437465544
62,01001011110,215.0,68.0,175.0,377.0,485.0,487.0,583.0,216.0,16927.85935435723,5146.854564254264,7153.0593723029715,11374.884521255306,15706.304886708504,12279.872363326896,8183.558598840032,4200.788598466233,3.3099125271817025
63,10001100101,214.0,72.0,73.0,370.0,313.0,233.0,253.0,656.0,16849.12512480208,5449.61071509275,2983.8476238749536,5442.193210374716,6815.943630081049,7924.94855612643,8031.6092349358405,12757.950558304856,3.3556507260058503
64,01110011101,214.0,77.0,222.0,256.0,297.0,383.0,693.0,133.0,16849.12512480208,5828.055903640859,9074.166746578627,8945.75107113097,18669.758638917658,7519.839364758945,5557.005308496149,2586.5966833148564,3.2253630783068474
65,01001100110,214.0,80.0,112.0,340.0,303.0,149.0,258.0,535.0,16849.12512480208,6055.123016769723,4577.9579982739015,3480.200808351213,6950.646073363283,7671.7553115217515,7380.397675346448,10404.731019349234,3.2933675434524194
66,01010100011,213.0,154.0,331.0,476.0,629.0,701.0,763.0,252.0,16770.390895246932,11656.111807281717,13529.500869898762,16373.29373593423,20555.592844868934,15925.855085634263,10332.556745485026,4900.920031543938,3.3039822928565483
67,00010011101,213.0,94.0,200.0,585.0,475.0,570.0,690.0,287.0,16770.390895246932,7114.769544704424,8174.924996917682,13313.519870873768,18588.937172948317,12026.679118722219,12698.625411993153,5581.603369258374,3.3516376637010974
68,00001001100,213.0,93.0,218.0,499.0,366.0,391.0,435.0,609.0,16770.390895246932,7039.080506994803,8910.668246640273,9132.607490371303,11719.112565554373,9266.872752531224,10831.818941170228,11843.890076231186,3.3530745153015027
69,01011111011,210.0,100.0,338.0,196.0,489.0,748.0,724.0,39.0,16534.188206581483,7568.903770962153,13815.623244790882,17471.07519897119,19504.91378726751,12381.149661168767,4254.582189317364,758.4757191675143,3.2251675495978382
70,00111000010,210.0,63.0,153.0,293.0,298.0,177.0,231.0,399.0,16534.188206581483,4768.409375706156,6253.817622642026,4134.198275692381,6223.252879639219,7545.158689219413,6360.166231989733,7759.79004994457,3.2446012818069567
71,01101101110,209.0,228.0,144.0,293.0,312.0,234.0,221.0,358.0,16455.453977026333,17257.10059779371,5885.945997780731,5465.550262779757,5953.847993074751,7899.629231665962,6360.166231989733,6962.418140050516,3.123946508701449
72,00111100111,209.0,72.0,100.0,377.0,263.0,127.0,190.0,514.0,16455.453977026333,5449.61071509275,4087.462498458841,2966.3456554402956,5118.692844724898,6658.982333103038,8183.558598840032,9996.321016720573,3.2910044904081768
73,00001001101,209.0,176.0,205.0,420.0,330.0,308.0,399.0,583.0,16455.453977026333,13321.27063689339,8379.298121840624,7193.972140752842,10749.254973922287,8355.377071954383,9116.961834251495,11338.239596786176,3.271872573764967
74,01010000001,207.0,18.0,108.0,165.0,269.0,135.0,281.0,112.0,16297.985517916031,1362.4026787731875,4414.459498335548,3153.2020746806293,7570.2773124615605,6810.898279865845,3581.6635777416586,2178.186680686195,3.142378536256592
75,00100111010,207.0,104.0,394.0,174.0,346.0,478.0,434.0,82.0,16297.985517916031,7871.6599218006395,16104.602243927833,11164.671049609931,11692.172076897927,8760.486263321869,3777.027045618476,1594.743819788107,3.129951047999201
76,01011000111,206.0,58.0,111.0,383.0,345.0,261.0,344.0,419.0,16219.251288360882,4389.964187158049,4537.083373289313,6096.190677715883,9267.52809781771,8735.166938861401,8313.800910757911,8148.751957209962,3.327258404843921
77,00101111011,206.0,115.0,101.0,272.0,321.0,326.0,458.0,149.0,16219.251288360882,8704.239336606477,4128.337123443429,7614.399084043594,12338.74380465265,8127.503151810172,5904.318140277158,2897.76620912717,3.195806909700977
78,10011010100,205.0,131.0,172.0,244.0,187.0,238.0,286.0,420.0,16140.517058805732,9915.263939960421,7030.435497349206,5558.978472399924,7704.979755743794,4734.713674107484,5296.520684660391,8168.200052573231,3.17365772735
79,00000000000,205.0,156.0,173.0,204.0,148.0,190.0,254.0,228.0,16140.517058805732,11807.48988270096,7071.310122333794,4437.839956957922,6842.884118737496,3747.2600201492382,4428.238605207868,4434.165742825468,3.0498995031770058
80,01111011010,204.0,143.0,274.0,224.0,271.0,559.0,448.0,26.0,16061.782829250582,10823.53239247588,11199.647245777223,13056.59229441831,12069.338918088182,6861.536928786782,4862.37964493413,505.6504794450095,3.1134727939504905
81,00011001011,204.0,90.0,146.0,385.0,230.0,362.0,391.0,476.0,16061.782829250582,6812.013393865938,5967.695247749907,8455.252970625093,10533.731064670712,5823.4446259076,8357.215014730536,9257.293392916328,3.2984750827101244
82,00001001111,204.0,143.0,148.0,346.0,227.0,149.0,389.0,642.0,16061.782829250582,10823.53239247588,6049.444497719084,3480.200808351213,10479.850087357818,5747.486652526197,7510.639987264326,12485.677223219081,3.281093408320391
83,01110100110,203.0,58.0,165.0,355.0,273.0,320.0,373.0,550.0,15983.048599695432,4389.964187158049,6744.313122457087,7474.256769613343,10048.80226885467,6912.175577707717,7706.003455141144,10696.452449798278,3.3374984281278164
84,01011100011,203.0,114.0,278.0,522.0,544.0,417.0,616.0,473.0,15983.048599695432,8628.550298896855,11363.145745715578,9739.890852902388,16595.34101237125,13773.712506494498,11331.081136855428,9198.94910682652,3.3565942261673176
85,01011011110,203.0,140.0,309.0,458.0,474.0,605.0,673.0,222.0,15983.048599695432,10596.465279347014,12630.259120237817,14131.016705050226,18130.94886578872,12001.35979426175,9941.829809731391,4317.4771706458505,3.280824838279322
86,01001110010,203.0,85.0,174.0,240.0,367.0,553.0,722.0,76.0,15983.048599695432,6433.568205317831,7112.1847473183825,12916.449979988058,19451.032809954613,9292.192076991692,5209.6924767151395,1478.0552476084895,3.2497524318902693
87,00011100111,203.0,173.0,186.0,363.0,289.0,276.0,303.0,661.0,15983.048599695432,13094.203523764525,7602.680247133444,6446.546463791508,8162.968062903391,7317.284769075202,7879.659871031648,12855.191035121205,3.2677838335787457
88,10001011011,202.0,110.0,165.0,489.0,487.0,463.0,584.0,435.0,15904.314370140282,8325.794148058369,6744.313122457087,10814.315263534305,15733.245375364952,12330.511012247833,10614.748421307097,8459.921483022275,3.3603768759856854
89,01001011111,202.0,168.0,240.0,400.0,442.0,580.0,687.0,222.0,15904.314370140282,12715.758335216418,9809.909996301218,13547.090394924184,18508.115706978973,11191.14141152678,8682.820794525232,4317.4771706458505,3.262586198717106
90,11010100000,200.0,101.0,136.0,246.0,379.0,381.0,441.0,262.0,15746.845911029983,7644.592808671775,5558.948997904024,8899.036966320886,11880.755497493054,9596.023970517306,5339.934788633018,5095.400985176635,3.2470458910124984
91,10111111011,200.0,74.0,227.0,278.0,309.0,418.0,432.0,100.0,15746.845911029983,5600.988790511993,9278.539871501569,9763.24790530743,11638.291099585032,7823.6712582845585,6034.560452195036,1944.8095363269597,3.195788866982135
92,11001011101,199.0,90.0,318.0,572.0,430.0,455.0,598.0,309.0,15668.111681474833,6812.013393865938,12998.130745099113,10627.458844293973,16110.412216555207,10887.309518001166,12416.433736171082,6009.461467250306,3.3282419973511668
93,10100100101,198.0,73.0,100.0,335.0,340.0,250.0,260.0,752.0,15589.377451919683,5525.299752802372,4087.462498458841,5839.263101260424,7004.527050676177,8608.570316559062,7271.862415414882,14624.967713178738,3.3900639888227753
94,01011000000,198.0,228.0,289.0,455.0,535.0,737.0,718.0,361.0,15589.377451919683,17257.10059779371,11812.76662054605,17214.14762251573,19343.27085532883,13545.838586350288,9876.708653772452,7020.762426140325,3.283752361744118
95,01010100101,198.0,147.0,184.0,536.0,626.0,405.0,452.0,603.0,15589.377451919683,11126.288543314366,7520.930997164267,9459.606224041887,12177.100872713969,15849.89711225286,11634.979864663812,11727.201504051567,3.379463781917701
96,01101010110,197.0,157.0,128.0,256.0,246.0,344.0,208.0,276.0,15510.643222364533,11883.17892041058,5231.951998027316,8034.826027334344,5603.621640540941,6228.553817275086,5557.005308496149,5367.674320262409,3.136377851876544
97,01011001111,197.0,188.0,308.0,595.0,493.0,537.0,579.0,530.0,15510.643222364533,14229.539089408849,12589.384495253229,12542.737141507392,15598.542932082717,12482.42695901064,12915.695931856284,10307.490542532887,3.3266235313397825
98,00000011011,197.0,95.0,245.0,199.0,218.0,302.0,457.0,125.0,15510.643222364533,7190.458582414046,10014.28312122416,7053.829826322592,12311.803315996203,5519.6127323819865,4319.7033452763035,2431.0119204086996,3.1378350919067683
99,10100111111,196.0,142.0,166.0,402.0,559.0,505.0,516.0,354.0,15431.908992809384,10747.843354766257,6785.187747441676,11795.311464546057,13901.292146726566,14153.502373401516,8726.234898497858,6884.625758597437,3.3186534768293163
100,01010110011,196.0,71.0,367.0,202.0,475.0,1138.0,1128.0,19.0,15431.908992809384,5373.921677383129,15000.987369343946,26580.32563693745,30388.87120447203,12026.679118722219,4384.824501235243,369.51381190212237,3.301995488573861
101,10101011011,195.0,73.0,175.0,217.0,305.0,303.0,455.0,342.0,15353.174763254234,5525.299752802372,7153.0593723029715,7077.186878727634,12257.92233868331,7722.393960442688,4710.430281029939,6651.248614238202,3.2626127703455916
102,01101100111,195.0,70.0,124.0,465.0,363.0,221.0,233.0,643.0,15353.174763254234,5298.232639673507,5068.453498088963,5161.908581514215,6277.133856952112,9190.914779149822,10093.779173635583,12505.125318582352,3.389356732934949
103,01011011010,195.0,115.0,283.0,203.0,370.0,667.0,662.0,83.0,15353.174763254234,8704.239336606477,11567.51887063852,15579.153954162812,17834.603490567803,9368.150050373097,4406.531553221555,1614.1919151513766,3.213147113918519
104,01001011000,195.0,101.0,179.0,341.0,423.0,693.0,720.0,183.0,15353.174763254234,7644.592808671775,7316.557872241325,16186.437316693897,19397.15183264172,10710.074246777891,7402.10472733276,3559.0014514783365,3.3055211857751448
105,00011011000,195.0,100.0,228.0,200.0,257.0,425.0,392.0,235.0,15353.174763254234,7568.903770962153,9319.414496486157,9926.747272142722,10560.671553327158,6507.0663863402315,4341.410397262616,4570.302410368356,3.1829435790031044
106,01011100010,193.0,98.0,264.0,507.0,549.0,498.0,675.0,483.0,15195.706304143934,7417.52569554291,10790.900995931339,11631.812097710765,18184.829843101612,13900.309128796836,11005.475357060732,9393.430060459215,3.3844419197853624
107,11001011011,192.0,170.0,261.0,263.0,382.0,474.0,671.0,156.0,15116.972074588783,12867.136410635661,10668.277120977575,11071.242839989764,18077.067888475827,9671.98194389871,5708.95467240034,3033.902876670057,3.2085514788932765
108,00001001010,192.0,72.0,128.0,275.0,271.0,163.0,386.0,365.0,15116.972074588783,5449.61071509275,5231.951998027316,3807.199542021797,10399.028621388477,6861.536928786782,5969.439296236097,7098.554807593403,3.2707885388900073
109,10110011101,191.0,134.0,270.0,415.0,355.0,414.0,370.0,410.0,15038.237845033633,10142.331053089285,11036.14874583887,9669.819695687263,9967.98080288533,8988.360183466079,9008.426574319928,7973.719098940535,3.268789612763995
110,10001110000,190.0,165.0,188.0,370.0,413.0,324.0,505.0,308.0,14959.503615478483,12488.691222087553,7684.429497102621,7567.68497923351,13604.94677150565,10456.881002173213,8031.6092349358405,5990.013371887037,3.2557446075345133
111,01100010100,190.0,49.0,188.0,255.0,276.0,596.0,344.0,153.0,14959.503615478483,3708.762847771455,7684.429497102621,13920.803233404851,9267.52809781771,6988.13355108912,5535.2982565098355,2975.5585905802486,3.231434046326149
112,01011101011,190.0,74.0,262.0,437.0,348.0,333.0,504.0,384.0,14959.503615478483,5600.988790511993,10709.151745962163,7777.898450878885,13578.006282849205,8811.124912242803,9485.981718018817,7468.068619495525,3.323652974341042
113,00000101010,190.0,83.0,163.0,315.0,258.0,348.0,315.0,401.0,14959.503615478483,6282.190129898588,6662.563872487911,8128.254236954511,8486.253926780753,6532.3857108007,6837.72137568862,7798.686240671109,3.272698186077751
114,11001001110,189.0,62.0,172.0,215.0,282.0,319.0,397.0,365.0,14880.769385923333,4692.720337996535,7030.435497349206,7450.899717208301,10695.373996609393,7140.049497851927,4667.016177057312,7098.554807593403,3.2712762526827097
115,01110101101,189.0,52.0,179.0,403.0,387.0,363.0,457.0,199.0,14880.769385923333,3935.8299609003197,7316.557872241325,8478.610023030136,12311.803315996203,9798.57856620105,8747.941950484172,3870.17097729065,3.310048884166283
116,01000100101,189.0,100.0,166.0,464.0,434.0,413.0,562.0,581.0,14880.769385923333,7568.903770962153,6785.187747441676,9646.46264328222,15140.554624923121,10988.586815843037,10072.07212164927,11299.343406059636,3.3937082285893028
117,00101111000,188.0,48.0,194.0,266.0,227.0,377.0,406.0,150.0,14802.035156368183,3633.0738100618337,7929.677247010151,8805.60875670072,10937.838394517416,5747.486652526197,5774.0758283592795,2917.2143044904396,3.2178221767917865
118,11101001100,187.0,92.0,210.0,284.0,307.0,439.0,527.0,370.0,14723.300926813034,6963.391469285181,8583.671246763566,10253.746005813306,14197.637521947481,7773.032609363623,6164.802764112915,7195.795284409751,3.2904834145988695
119,01011111010,187.0,92.0,253.0,167.0,330.0,899.0,746.0,16.0,14723.300926813034,6963.391469285181,10341.280121100866,20997.990112132487,20097.60453770934,8355.377071954383,3625.0776817142846,311.16952581231357,3.2330882016018525
120,01010000011,187.0,53.0,131.0,160.0,276.0,271.0,249.0,129.0,14723.300926813034,4011.5189986099413,5354.575872981081,6329.7612017663,6708.181675455262,6988.13355108912,3473.128317810093,2508.804301861778,3.151041274127136
